Transaction ID,Customer ID,First Name,Last Name,Product,Price,Quantity
TXN_001,CUST_01,John   ,Doe  ,Product A,100.0,2
TXN_002,CUST_02,Jane   ,Smith,Product B,,1
TXN_003,CUST_03,John   ,Doe  ,Product C,150.0,3
TXN_004,CUST_04,Alice  ,Brown,Product D,200.0,1
TXN_005,CUST_05,Bob    ,Johnson,Product E,120.0,2
TXN_006,CUST_06,Emma   ,Davis,Product F,50.0,1
TXN_007,CUST_07,Michael,Lee  ,Product G,300.0,2
TXN_008,CUST_08,Sarah  ,Wilson,Product H,,3
TXN_009,CUST_09,David  ,Clark,Product I,250.0,1
TXN_010,CUST_10,Laura  ,Martinez,Product J,180.0,2
TXN_011,CUST_11,James  ,Garcia,Product K,60.0,1
TXN_012,CUST_12,Sophia ,Rodriguez,Product L,220.0,3
TXN_013,CUST_13,Daniel ,Hernandez,Product M,,1
TXN_014,CUST_14,Emily  ,Lopez,Product N,150.0,2
TXN_015,CUST_15,William,Gonzalez,Product O,70.0,1
